tag,case,parameter,median,err_low_percival,err_high_percival,ml,ncall,logz,logzerr
fid,xi_r100_350,b1,2.55882327860786,0.6002159857544305,0.5543315132342249,2.791156163844822,41584,-10.26078240329627,0.36063838015594474
fid,xi_r100_350,sigmas,11.675720136553325,8.462758706847774,11.367584667612682,10.382089191507465,41584,-10.26078240329627,0.36063838015594474
fid,xi_r100_350,sn0,9.274174492758316e-05,0.001038584183848393,0.0010201415772988591,5.627117660522707e-05,41584,-10.26078240329627,0.36063838015594474
LCp50,pk_binavg,fnl_loc,43.35923734112087,62.39423096457253,63.13325048467995,52.04843430434289,84196,-8.220395678972752,0.11128428501582781
LCp50,pk_binavg,b1,2.660114199464675,0.154497732088664,0.16828618557345337,2.700075826918701,84196,-8.220395678972752,0.11128428501582781
LCp50,pk_binavg,sigmas,5.91393512922939,4.066748168695472,4.665386075856234,0.3270086794321961,84196,-8.220395678972752,0.11128428501582781
LCp50,pk_binavg,sn0,0.4619301625668622,0.4676136455272531,0.3744573753091857,0.07283747786554651,84196,-8.220395678972752,0.11128428501582781
LCp50,xi_r50_350,fnl_loc,52.92139300563068,79.3854517834905,82.93019320845688,51.43223887504871,32281,-12.262822920181865,0.3353993773267945
LCp50,xi_r50_350,b1,2.5389094353836943,0.2717016321849048,0.24244023428377393,2.625897466866377,32281,-12.262822920181865,0.3353993773267945
LCp50,xi_r50_350,sigmas,11.246466005452746,5.0524375467938745,7.5898656864806275,9.349399007709273,32281,-12.262822920181865,0.3353993773267945
LCp50,xi_r50_350,sn0,0.00018723180683359432,0.00077655166259034,0.0007362202975623036,-3.2466395056829356e-05,32281,-12.262822920181865,0.3353993773267945
LCp50,xi_r60_350,fnl_loc,47.5114349844954,76.22062685477178,93.63962670180985,48.17747497224548,39391,-11.801773521287458,0.3471863578311332
LCp50,xi_r60_350,b1,2.5419176120402986,0.3325247905610489,0.31882077431910066,2.6595230589266747,39391,-11.801773521287458,0.3471863578311332
LCp50,xi_r60_350,sigmas,11.080000414840054,5.336740063969412,7.24474890938787,9.591295564017596,39391,-11.801773521287458,0.3471863578311332
LCp50,xi_r60_350,sn0,0.00012915385779878333,0.0007717270951815473,0.0007614751421756458,4.3347005165284e-06,39391,-11.801773521287458,0.3471863578311332
LCp50,xi_r80_350,fnl_loc,45.333080232110255,84.32227393781795,116.93282852002396,42.027735863280554,33185,-10.64454668932499,0.25346201124707984
LCp50,xi_r80_350,b1,2.4702255405174376,0.5678654826907716,0.5560799182604423,2.7983428352082265,33185,-10.64454668932499,0.25346201124707984
LCp50,xi_r80_350,sigmas,10.862292354207526,6.524580622780499,8.219686398719059,10.593220463177108,33185,-10.64454668932499,0.25346201124707984
LCp50,xi_r80_350,sn0,7.629328823883293e-05,0.0008768238086329497,0.0008463384569083508,-1.0940925412650238e-05,33185,-10.64454668932499,0.25346201124707984
LCp50,xi_r100_350,fnl_loc,38.709009202861445,83.41689843253977,99.26269456637439,44.538760251325925,38497,-10.009530236273681,0.24777558718483308
